unique_id,concert_id,source_id,scraper_id,venue_id,artist,artist_short,venue,venue_short,date,street_address,city,state_code,zip_code,start_time,end_time,total_description,first_description,quality_score
0,9,2,9,9,While Rome Burns Fundraiser,While Rome Burns Fundraiser,Mississippi Pizza,Mississippi Pizza,2019-12-29,3552 N.Mississippi Ave.,Portland,OR,97227,5:00 pm,7:00 pm,,While Rome Burns presents a fundraiser for a different organization every month and features a wide variety of performers.,0
0,9,2,9,9,Kelli Welli (Kids Show),Kelli Welli (Kids Show),Mississippi Pizza,Mississippi Pizza,2020-01-14,3552 N.Mississippi Ave.,Portland,OR,97227,5:30 pm,6:30 pm,,"Kelli Welli is a fun, popular Portland childrens’ performer. Her music is great for toddlers on up.",0
0,9,2,9,9,Pizza My Mind Open Mic: Hip Hop,Pizza My Mind Open Mic: Hip...,Mississippi Pizza,Mississippi Pizza,2020-01-16,3552 N.Mississippi Ave.,Portland,OR,97227,8:00 am,5:00 pm,,,0
0,9,2,9,9,"Inkblot Astranaut, Postwar Radio","Inkblot Astranaut, Postwar ...",Mississippi Pizza,Mississippi Pizza,2020-01-12,3552 N.Mississippi Ave.,Portland,OR,97227,8:00 pm,11:00 pm,,,0
0,9,2,9,9,Lorna Miller (kids show),Lorna Miller (kids show),Mississippi Pizza,Mississippi Pizza,2020-01-13,3552 N.Mississippi Ave.,Portland,OR,97227,4:00 pm,5:00 pm,,Lorna plays music for young children.,0
0,9,2,9,9,Michelle Alany & the Mystics: Klezmer Show,Michelle Alany & the Mystic...,Mississippi Pizza,Mississippi Pizza,2020-01-12,3552 N.Mississippi Ave.,Portland,OR,97227,5:00 pm,7:00 pm,,Michelle Alany & the Mystics are an all star Portland band that plays Eastern Klezmer music and Sephardic Music.,0
0,9,2,9,9,Three for Silver with Human Ottoman: Big Band Show,Three for Silver with Human...,Mississippi Pizza,Mississippi Pizza,2020-01-11,3552 N.Mississippi Ave.,Portland,OR,97227,9:00 pm,12:30 am,,"Three for Silver is group with bass, accordion  and two vocalists and play wholly original music.  Hard to categorize; their songs are influenced by 20’s and 30’s jazz, classical, eastern european gypsy music, blues, folk and much more. ,Tonight the band Human Ottoman joins them with vibraphones, cello and drums.",0
0,9,2,9,9,Julie & the Wayves,Julie & the Wayves,Mississippi Pizza,Mississippi Pizza,2020-01-11,3552 N.Mississippi Ave.,Portland,OR,97227,6:00 pm,8:00 pm,"Julie & The Wayves is a 5-piece, progressive bluegrass band, based out of Portland, Oregon.  Centered around the songwriting of Julie Schmidt, a confluence of hard-driving bluegrass and masterful composition and arrangement sensibilities delivers a sound that is both powerful and elegant. Timeless tones within a modern, artful structure, that incorporates genre-bending subtleties without sacrificing what their instrumentation suggests they are: a bluegrass band.,Vocals, Guitar / Patrick Connell,Vocals, Fiddle / Julie Schmidt,Vocals, Banjo / Jon Meek,Vocals, Bass / Rob Wright,Vocals, Mandolin / Martin DeGroot","Julie & The Wayves is a 5-piece, progressive bluegrass band, based out of Portland, Oregon.  Centered around the songwriting of Julie Schmidt, a confluence of hard-driving bluegrass and masterful composition and arrangement sensibilities delivers a sound that is both powerful and elegant. Timeless tones within a modern, artful structure, that incorporates genre-bending subtleties without sacrificing what their instrumentation suggests they are: a bluegrass band.,Vocals, Guitar / Patrick Connell,Vocals, Fiddle / Julie Schmidt,Vocals, Banjo / Jon Meek,Vocals, Bass / Rob Wright,Vocals, Mandolin / Martin DeGroot",0
0,9,2,9,9,Pointed Man Band (kids show),Pointed Man Band (kids show...,Mississippi Pizza,Mississippi Pizza,2020-01-11,3552 N.Mississippi Ave.,Portland,OR,97227,4:00 pm,5:00 pm,,Pointed Man Band (Daniel Elliot) brings his energetic songs and stories for the whole family!,0
0,9,2,9,9,Pura Vida Orquestra,Pura Vida Orquestra,Mississippi Pizza,Mississippi Pizza,2020-01-10,3552 N.Mississippi Ave.,Portland,OR,97227,9:00 pm,11:55 pm,,"Salsa music and dancing.,
",0
0,9,2,9,9,Hillwilliams bluegrass,Hillwilliams bluegrass,Mississippi Pizza,Mississippi Pizza,2020-01-31,3552 N.Mississippi Ave.,Portland,OR,97227,6:30 pm,8:00 pm,,"The Hillwilliams play the best of traditional bluegrass, featuring the music of Old and in the Way.",0
0,9,2,9,9,"Each Both, Jeff Donovan","Each Both, Jeff Donovan",Mississippi Pizza,Mississippi Pizza,2020-01-31,3552 N.Mississippi Ave.,Portland,OR,97227,9:00 pm,12:30 am,,"Join us for a night of Indie Rock/Pop/Psych Rock,Each Both:,Jeff Donovan: ",0
0,9,2,9,9,DaFunk Tank – Funk & Soul Show,DaFunk Tank – Funk & Soul S...,Mississippi Pizza,Mississippi Pizza,2020-01-30,3552 N.Mississippi Ave.,Portland,OR,97227,8:00 pm,11:30 pm,,"Michael Galen presents a second installment of this fun series of shows with performers who do not play together in a band. This creates a night of cross-pollination from different genres and features virtuoso artists.,https://www.facebook.com/events/905503999806330/",0
0,9,2,9,9,Red Yarn (Kids show),Red Yarn (Kids show),Mississippi Pizza,Mississippi Pizza,2020-01-30,3552 N.Mississippi Ave.,Portland,OR,97227,5:30 pm,6:30 pm,,Join us every week for a wonderful kids show at 5:30 to 6:30.,0
0,9,2,9,9,Kelli Welli (kids show),Kelli Welli (kids show),Mississippi Pizza,Mississippi Pizza,2020-01-28,3552 N.Mississippi Ave.,Portland,OR,97227,5:30 pm,6:30 pm,,"Kelli Welli plays fun songs for the kids! Best for toddlers to 5, but all kids and adults welcome!, ",0
0,9,2,9,9,Grupo Masato,Grupo Masato,Mississippi Pizza,Mississippi Pizza,2020-01-25,3552 N.Mississippi Ave.,Portland,OR,97227,9:00 pm,12:30 am,,"Grupo Masato is a Portland-based band that plays highly dance-able music from South America. Highlighting the Chicha music that grew out of the late 1960’s where Andean flute music in Peru mixed with Cumbia rhythms from Colombia and were transformed by electric guitars, Fender spring reverb amplifiers, and the discovery of surf music and psychedelic rock.  Chicha music gets its name from a powerful liquor made from fermented corn and pineapple skins. It is uniquely Andean, merging mountain folk melodies, Cumbia rhythms and surf guitar twang into something that is as intoxicating as the beverage it’s named after.  Grupo Masato explores and celebrates this music with a powerful show that will make you want to dance.  No specific dances to learn, so the music is accessible for anyone that shows up and wants to dance.",0
0,9,2,9,9,Hungry Hip Hop Saturday Show!,Hungry Hip Hop Saturday Sho...,Mississippi Pizza,Mississippi Pizza,2020-01-26,3552 N.Mississippi Ave.,Portland,OR,97227,9:00 pm,11:30 pm,,Monthly showcase of local hip hop emcess and DJ’s. Presented by MG Productions. Special lineup every month!,0
