unique_id,concert_id,source_id,scraper_id,venue_id,artist,artist_short,venue,venue_short,day_of_week,date,street_address,city,state_code,zip_code,start_time,end_time,door_time,event_free,event_details,first_description,second_description,genre,quality_score
0,0,2,1,0,Acoustic Minds,Acoustic Minds,Al's Den,Al's Den,Sunday,2020-02-16,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Acoustic Minds or AM, is a Soul-tronic New Millennium Dance-Pop band from Portland, Oregon."," AM is made up of twin sisters and lead vocalists, Amanda and Jenni Price, vocalist and keyboardist Aaron Altemose, key bassist Josh Lorenzen, and drummer Josh Burns.  The band's unique sound blends electronic dance music with Pop, House, Trance, Dubstep, Hip-hop and RnB to create symphonic masterpieces. In 2010, they were awarded the prestigious title of ""Band of the Year"" at the Portland Music Awards and have since toured the country, selling out packed venues coast-to-coast.  2013 is has proven a huge year for Acoustic Minds, featured as a TOP selection at Austin's popular, SXSW.  They spent the majority of 2013 touring across the country w/Keegan Smith. Lafa Taylor and International Artist of the Year, Jah Sun.  In August, they headlined the Whiteaker Block Party on the Ninkasi Main Stage in Eugene, OR. AM released their latest single ""Love Somebody"" in July ( A follow up to their debut EP ""Electric Sol"" which featured 6 tracks touching on Electro, Progressive, Dancehall, and Soul.   With the success of their new single release, the band has just announced they are opening for ""The Voice"" finalist, Judith Hill (who has performed alongside many legends, including Michael Jackson, and is currently on tour with Josh Groban) at Portland's iconic Crystal Ballroom on October 3rd. The band is fairly young when compared to other EDM artists, but they are rich in experience.  Each member of Acoustic Minds has had a long history in music.  The twins have been singing together since the age of 3 and the others have had separate successful music projects outside of the band, which has given them the natural ability to produce some of the most unique and trendsetting sounds. AM is on the path to solidifying 2013 as a landmark year and are headed straight to the top with their fresh, innovative approach to music. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Acoustic Minds or AM, is a Soul-tronic New Millennium Dance-Pop band from Portland, Oregon.  AM is made up of twin sisters and lead vocalists, Amanda and Jenni Price, vocalist and keyboardist Aaron Altemose, key bassist Josh Lorenzen, and drummer Josh Burns.  The band's unique sound blends electronic dance music with Pop, House, Trance, Dubstep, Hip-hop and RnB to create symphonic masterpieces. In 2010, they were awarded the prestigious title of ""Band of the Year"" at the Portland Music Awards and have since toured the country, selling out packed venues coast-to-coast.  2013 is has proven a huge year for Acoustic Minds, featured as a TOP selection at Austin's popular, SXSW.  They spent the majority of 2013 touring across the country w/Keegan Smith. Lafa Taylor and International Artist of the Year, Jah Sun.  In August, they headlined the Whiteaker Block Party on the Ninkasi Main Stage in Eugene, OR. AM released their latest single ""Love Somebody"" in July ( A follow up to their debut EP ""Electric Sol"" which featured 6 tracks touching on Electro, Progressive, Dancehall, and Soul.   With the success of their new single release, the band has just announced they are opening for ""The Voice"" finalist, Judith Hill (who has performed alongside many legends, including Michael Jackson, and is currently on tour with Josh Groban) at Portland's iconic Crystal Ballroom on October 3rd. The band is fairly young when compared to other EDM artists, but they are rich in experience.  Each member of Acoustic Minds has had a long history in music.  The twins have been singing together since the age of 3 and the others have had separate successful music projects outside of the band, which has given them the natural ability to produce some of the most unique and trendsetting sounds. AM is on the path to solidifying 2013 as a landmark year and are headed straight to the top with their fresh, innovative approach to music. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ","Country, Electronic, Hip-hop, Pop, Soul",0
0,0,2,1,0,Comedy Night at Al's Den hosted by Brandon Lyons,Comedy Night at Al's Den ho...,Al's Den,Al's Den,Friday,2020-02-14,303 S.W. 12th Ave.,Portland,OR,97205,22:30,,,1,21 and over,Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den.,"Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den. Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",default,0
0,0,2,1,0,Comedy Night at Al's Den hosted by Brandon Lyons,Comedy Night at Al's Den ho...,Al's Den,Al's Den,Saturday,2020-02-15,303 S.W. 12th Ave.,Portland,OR,97205,22:30,,,1,21 and over,Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den.,"Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den. Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",default,0
0,0,2,1,0,Comedy Night at Al's Den hosted by Brandon Lyons,Comedy Night at Al's Den ho...,Al's Den,Al's Den,Saturday,2020-02-08,303 S.W. 12th Ave.,Portland,OR,97205,22:30,,,1,21 and over,Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den.,"Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den. Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",default,0
0,0,2,1,0,Comedy Night at Al's Den hosted by Brandon Lyons,Comedy Night at Al's Den ho...,Al's Den,Al's Den,Friday,2020-02-07,303 S.W. 12th Ave.,Portland,OR,97205,22:30,,,1,21 and over,Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den.,"Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Get your laugh on Friday and Saturday nights as late night comedy returns to Al's Den. Brandon Lyons hosts an ever-changing weekly line up of Bridge City's funniest! With so many great comedic voices centralized in Portland, it's hard to fit so much good comedy into just one night. Nestled snugly under the Crystal Hotel, Comedy Night at Al's Den seeks to showcase a sectional of Portland's greatest growing comedic names every weekend. Expect whip smart jokes from a variety of different comics every week. Relax, and be jovial! All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",default,0
0,0,2,1,0,Bill Wadhams & Friends,Bill Wadhams & Friends,Al's Den,Al's Den,Friday,2020-02-07,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion.","Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion. Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",Pop,0
0,0,2,1,0,Bill Wadhams & Friends,Bill Wadhams & Friends,Al's Den,Al's Den,Thursday,2020-02-06,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion.","Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion. Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ",Pop,0
0,0,2,1,0,Bill Wadhams & Friends,Bill Wadhams & Friends,Al's Den,Al's Den,Saturday,2020-02-08,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion.","Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. Wonderly is an American indie-folk duo, comprised of Jim Brunberg and Ben Landsverk. Innovative, intricate harmonies paired with virtuosic instrumental arrangements provide the backdrop for unusual character studies. Wonderly has been featured by New York Times Audio, and has been honored to perform on WBUR's Dear Sugar Radio.  All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Wadhams & Friends is led by Bill Wadhams, singer of the '80s hit ""Obsession,"" and the band Animotion. Before becoming a pioneer of synth pop, Bill was a singer-songwriter playing acoustic guitar and singing in pubs. He carries on that tradition here. Wonderly is an American indie-folk duo, comprised of Jim Brunberg and Ben Landsverk. Innovative, intricate harmonies paired with virtuosic instrumental arrangements provide the backdrop for unusual character studies. Wonderly has been featured by New York Times Audio, and has been honored to perform on WBUR's Dear Sugar Radio.  All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ","Folk, Pop",0
0,0,2,1,0,Dan Sheron,Dan Sheron,Al's Den,Al's Den,Sunday,2020-04-05,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Dan Sheron is the principal songwriter, vocalist, and multi-instrumentalist for the American rock'n'roll band Balto."," At 21, after a failed attempt to begin a journalism career in Moscow and an overwhelming heartbreak, Dan Sheron's life collapsed. Without so much as saying goodbye to his friends or bothering to pack a bag, Dan boarded a train bound for Siberia and headed east with a child's guitar and journal that quickly filled with songs. At some point in those manic months, Balto was born, in a third-class train car, singing and drinking among strangers, somewhere east of Novosibirsk. Dan came home and tracked those new compositions with a band made up of his closest friends. The recordings became Balto's first album, October's Road. Adventures and tours came and went - 2012 saw the release of Balto's second record, Monuments, followed by an EP Call it by its Name in 2015 and their latest full-length outing, Strangers (LP) - in 2017.  Over time, Balto transformed from a songwriting vehicle into a rock n roll band - performing a boozy, swaggering style of American music rooted at the intersection of Motown, Big Star, Plastic Ono Band-era Lennon, and Jackson Browne. Their interactive live performances have drawn comparisons to fiery indie rockers My Morning Jacket and Wilco, while Seattle-based curators Artist Home describe Strangers (2017) as ""a tangle of beautiful, messy emotions, wrapped up in a sound that's warmly familiar yet brimming with soul and tiny details that are touched by magic."" They continue to describe Sheron as, ""a roots-rock storyteller with the heart of an Edwardian poet-full of romance, sharp observation, knowing humor, and at least a slug or two of whiskey.""  Songs from the new record have been featured in official playlists for Spotify, Google Play Music, Tidal, Apple Music, & Deezer, and the band has toured steadily throughout 2017, supporting acts such as Blind Pilot, the Current Swell, the Donkeys and Communist Daughter.  Dan returned to Russia on tour in fall 2017, to be followed with dates in Germany and Austria in Winter 2018 as the band continues tracking their next full-length release. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Dan Sheron is the principal songwriter, vocalist, and multi-instrumentalist for the American rock'n'roll band Balto.  At 21, after a failed attempt to begin a journalism career in Moscow and an overwhelming heartbreak, Dan Sheron's life collapsed. Without so much as saying goodbye to his friends or bothering to pack a bag, Dan boarded a train bound for Siberia and headed east with a child's guitar and journal that quickly filled with songs. At some point in those manic months, Balto was born, in a third-class train car, singing and drinking among strangers, somewhere east of Novosibirsk. Dan came home and tracked those new compositions with a band made up of his closest friends. The recordings became Balto's first album, October's Road. Adventures and tours came and went - 2012 saw the release of Balto's second record, Monuments, followed by an EP Call it by its Name in 2015 and their latest full-length outing, Strangers (LP) - in 2017.  Over time, Balto transformed from a songwriting vehicle into a rock n roll band - performing a boozy, swaggering style of American music rooted at the intersection of Motown, Big Star, Plastic Ono Band-era Lennon, and Jackson Browne. Their interactive live performances have drawn comparisons to fiery indie rockers My Morning Jacket and Wilco, while Seattle-based curators Artist Home describe Strangers (2017) as ""a tangle of beautiful, messy emotions, wrapped up in a sound that's warmly familiar yet brimming with soul and tiny details that are touched by magic."" They continue to describe Sheron as, ""a roots-rock storyteller with the heart of an Edwardian poet-full of romance, sharp observation, knowing humor, and at least a slug or two of whiskey.""  Songs from the new record have been featured in official playlists for Spotify, Google Play Music, Tidal, Apple Music, & Deezer, and the band has toured steadily throughout 2017, supporting acts such as Blind Pilot, the Current Swell, the Donkeys and Communist Daughter.  Dan returned to Russia on tour in fall 2017, to be followed with dates in Germany and Austria in Winter 2018 as the band continues tracking their next full-length release. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ","East, Soul, Rock",0
0,0,2,1,0,Dan Sheron,Dan Sheron,Al's Den,Al's Den,Saturday,2020-04-04,303 S.W. 12th Ave.,Portland,OR,97205,19:00,,,1,21 and over,"Dan Sheron is the principal songwriter, vocalist, and multi-instrumentalist for the American rock'n'roll band Balto."," At 21, after a failed attempt to begin a journalism career in Moscow and an overwhelming heartbreak, Dan Sheron's life collapsed. Without so much as saying goodbye to his friends or bothering to pack a bag, Dan boarded a train bound for Siberia and headed east with a child's guitar and journal that quickly filled with songs. At some point in those manic months, Balto was born, in a third-class train car, singing and drinking among strangers, somewhere east of Novosibirsk. Dan came home and tracked those new compositions with a band made up of his closest friends. The recordings became Balto's first album, October's Road. Adventures and tours came and went - 2012 saw the release of Balto's second record, Monuments, followed by an EP Call it by its Name in 2015 and their latest full-length outing, Strangers (LP) - in 2017.  Over time, Balto transformed from a songwriting vehicle into a rock n roll band - performing a boozy, swaggering style of American music rooted at the intersection of Motown, Big Star, Plastic Ono Band-era Lennon, and Jackson Browne. Their interactive live performances have drawn comparisons to fiery indie rockers My Morning Jacket and Wilco, while Seattle-based curators Artist Home describe Strangers (2017) as ""a tangle of beautiful, messy emotions, wrapped up in a sound that's warmly familiar yet brimming with soul and tiny details that are touched by magic."" They continue to describe Sheron as, ""a roots-rock storyteller with the heart of an Edwardian poet-full of romance, sharp observation, knowing humor, and at least a slug or two of whiskey.""  Songs from the new record have been featured in official playlists for Spotify, Google Play Music, Tidal, Apple Music, & Deezer, and the band has toured steadily throughout 2017, supporting acts such as Blind Pilot, the Current Swell, the Donkeys and Communist Daughter.  Dan returned to Russia on tour in fall 2017, to be followed with dates in Germany and Austria in Winter 2018 as the band continues tracking their next full-length release. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink Dan Sheron is the principal songwriter, vocalist, and multi-instrumentalist for the American rock'n'roll band Balto.  At 21, after a failed attempt to begin a journalism career in Moscow and an overwhelming heartbreak, Dan Sheron's life collapsed. Without so much as saying goodbye to his friends or bothering to pack a bag, Dan boarded a train bound for Siberia and headed east with a child's guitar and journal that quickly filled with songs. At some point in those manic months, Balto was born, in a third-class train car, singing and drinking among strangers, somewhere east of Novosibirsk. Dan came home and tracked those new compositions with a band made up of his closest friends. The recordings became Balto's first album, October's Road. Adventures and tours came and went - 2012 saw the release of Balto's second record, Monuments, followed by an EP Call it by its Name in 2015 and their latest full-length outing, Strangers (LP) - in 2017.  Over time, Balto transformed from a songwriting vehicle into a rock n roll band - performing a boozy, swaggering style of American music rooted at the intersection of Motown, Big Star, Plastic Ono Band-era Lennon, and Jackson Browne. Their interactive live performances have drawn comparisons to fiery indie rockers My Morning Jacket and Wilco, while Seattle-based curators Artist Home describe Strangers (2017) as ""a tangle of beautiful, messy emotions, wrapped up in a sound that's warmly familiar yet brimming with soul and tiny details that are touched by magic."" They continue to describe Sheron as, ""a roots-rock storyteller with the heart of an Edwardian poet-full of romance, sharp observation, knowing humor, and at least a slug or two of whiskey.""  Songs from the new record have been featured in official playlists for Spotify, Google Play Music, Tidal, Apple Music, & Deezer, and the band has toured steadily throughout 2017, supporting acts such as Blind Pilot, the Current Swell, the Donkeys and Communist Daughter.  Dan returned to Russia on tour in fall 2017, to be followed with dates in Germany and Austria in Winter 2018 as the band continues tracking their next full-length release. All ages welcome | 21 and over to drink All ages welcome | 21 and over to drink All ages welcome | 21+ to drink ","East, Soul, Rock",0
